Start,GOES Class,Class_Type
2026-02-25 23:15:00,C1.8,C
2026-02-25 23:56:00,C1.9,C
2026-02-26 05:47:00,C1.2,C
2026-02-26 14:49:00,C1.2,C
2026-02-26 15:04:00,C1.6,C
2026-02-26 15:21:00,C1.5,C
2026-02-26 17:18:00,C1.8,C
2026-02-26 18:46:00,C1.4,C
2026-02-26 18:56:00,C6.3,C
2026-02-26 23:12:00,C1.1,C
2026-02-27 00:18:00,C2.1,C
2026-02-27 01:06:00,C1.4,C
2026-02-27 02:16:00,C2.0,C
2026-02-27 04:24:00,C1.1,C
2026-02-27 07:08:00,C1.3,C
2026-02-27 09:04:00,C1.1,C
2026-02-27 11:41:00,C1.5,C
2026-02-27 12:47:00,C3.5,C
2026-02-27 13:09:00,C1.5,C
2026-02-27 18:10:00,C1.2,C
2026-02-27 19:11:00,B9.3,B
2026-02-27 19:32:00,C2.8,C
2026-02-27 19:59:00,C3.4,C
2026-02-28 00:24:00,C1.4,C
2026-02-28 02:56:00,C6.5,C
2026-02-28 03:31:00,C3.4,C
2026-02-28 05:23:00,C2.2,C
2026-02-28 09:46:00,C2.9,C
2026-02-28 10:16:00,C2.2,C
2026-02-28 10:20:00,C2.3,C
2026-02-28 13:29:00,C2.5,C
2026-02-28 15:21:00,C2.8,C
2026-02-28 17:00:00,C2.0,C
2026-02-28 17:28:00,C3.3,C
2026-02-28 17:54:00,C3.3,C
2026-02-28 21:18:00,C4.7,C
2026-02-28 21:54:00,C2.1,C
2026-03-01 00:35:00,C1.9,C
2026-03-01 01:24:00,C4.7,C
2026-03-01 01:55:00,C6.1,C
2026-03-01 03:25:00,C2.1,C
2026-03-01 05:00:00,C1.3,C
2026-03-01 05:21:00,C1.4,C
2026-03-01 05:47:00,C2.0,C
2026-03-01 06:07:00,C5.2,C
2026-03-01 07:30:00,C5.9,C
2026-03-01 10:07:00,C1.5,C
2026-03-01 11:41:00,C1.4,C
2026-03-01 12:22:00,C1.6,C
2026-03-01 12:43:00,C1.5,C
